Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2012-03-01 00:00:00,72.5,66.3,30.03,ESE,111,5.0,5.0,81,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 06:00:00
2012-03-01 00:05:00,72.2,66.0,30.03,SE,125,6.0,9.0,81,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 06:05:00
2012-03-01 00:15:00,71.8,66.4,30.02,SE,134,8.0,13.0,83,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 06:15:00
2012-03-01 00:25:00,71.5,66.1,30.02,SE,133,9.0,12.0,83,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 06:25:00
2012-03-01 00:35:00,71.2,66.1,30.02,SE,129,9.0,12.0,84,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 06:35:00
2012-03-01 00:40:00,71.0,66.3,30.02,ESE,119,9.0,9.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 06:40:00
2012-03-01 00:45:00,70.8,66.1,30.02,SE,137,9.0,12.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 06:45:00
2012-03-01 00:55:00,70.5,66.1,30.01,SE,125,10.0,10.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 06:55:00
2012-03-01 01:00:00,70.5,66.1,30.01,SE,138,9.0,11.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 07:00:00
2012-03-01 01:05:00,70.4,66.3,30.00,ESE,120,10.0,11.0,87,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 07:05:00
2012-03-01 01:15:00,70.4,66.3,30.00,ESE,123,10.0,10.0,87,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 07:15:00
2012-03-01 01:25:00,70.6,66.9,30.00,ESE,123,9.0,11.0,88,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 07:25:00
2012-03-01 01:30:00,70.6,66.9,30.00,SE,130,9.0,12.0,88,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 07:30:00
2012-03-01 01:40:00,70.8,67.4,30.00,SE,140,10.0,13.0,89,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 07:40:00
2012-03-01 01:45:00,70.9,67.5,29.99,ESE,109,10.0,13.0,89,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 07:45:00
2012-03-01 01:50:00,70.9,67.5,29.99,ESE,123,10.0,13.0,89,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 07:50:00
2012-03-01 02:00:00,71.2,67.8,29.99,ESE,122,10.0,10.0,89,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:00:00
2012-03-01 02:05:00,71.3,67.9,29.99,SE,135,10.0,12.0,89,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:05:00
2012-03-01 02:15:00,71.3,67.9,29.99,ESE,113,9.0,11.0,89,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:15:00
2012-03-01 02:20:00,71.3,67.9,29.99,SE,137,9.0,9.0,89,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:20:00
2012-03-01 02:30:00,71.1,68.0,29.99,SE,130,9.0,12.0,90,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:30:00
2012-03-01 02:35:00,71.0,67.9,29.99,SE,144,9.0,12.0,90,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:35:00
2012-03-01 02:40:00,71.0,67.9,29.99,SE,133,9.0,9.0,90,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:40:00
2012-03-01 02:50:00,70.9,67.8,29.98,SE,128,9.0,10.0,90,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:50:00
2012-03-01 02:55:00,70.9,67.8,29.98,ESE,115,8.0,12.0,90,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 08:55:00
2012-03-01 03:05:00,70.9,68.1,29.98,SE,126,8.0,13.0,91,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 09:05:00
2012-03-01 03:15:00,70.9,68.1,29.98,ESE,117,9.0,9.0,91,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 09:15:00
2012-03-01 03:25:00,70.7,67.9,29.99,ESE,112,9.0,9.0,91,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 09:25:00
2012-03-01 03:30:00,70.7,67.9,29.99,SE,126,9.0,9.0,91,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 09:30:00
2012-03-01 03:40:00,70.6,67.8,29.99,ESE,110,7.0,8.0,91,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 09:40:00
2012-03-01 03:45:00,70.5,67.7,29.99,SE,129,8.0,9.0,91,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 09:45:00
2012-03-01 03:50:00,70.3,67.5,29.99,SE,128,8.0,10.0,91,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 09:50:00
2012-03-01 04:00:00,70.1,67.7,29.99,ESE,110,8.0,8.0,92,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 10:00:00
2012-03-01 04:05:00,70.0,67.3,29.99,ESE,121,8.0,10.0,91,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 10:05:00
2012-03-01 04:15:00,70.1,67.7,29.99,ESE,107,7.0,8.0,92,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 10:15:00
2012-03-01 04:20:00,70.2,67.8,29.99,ESE,115,7.0,7.0,92,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 10:20:00
2012-03-01 04:25:00,70.3,67.9,29.99,SE,130,7.0,9.0,92,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 10:25:00
2012-03-01 04:35:00,70.2,67.8,29.99,ESE,119,7.0,7.0,92,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 10:35:00
2012-03-01 04:40:00,70.2,67.8,29.99,ESE,107,6.0,7.0,92,0.00,,,0.00,0,Wunderground v.1.15,2012-03-01 10:40:00
