Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2012-08-05 00:05:00,78.7,73.1,30.00,ESE,119,1.0,2.0,83,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 05:05:00
2012-08-05 00:10:00,78.5,72.9,30.01,ESE,119,2.0,2.0,83,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 05:10:00
2012-08-05 00:15:00,78.4,73.2,30.01,ESE,117,2.0,2.0,84,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 05:15:00
2012-08-05 00:25:00,78.7,73.5,30.01,East,82,2.0,2.0,84,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 05:25:00
2012-08-05 00:35:00,78.8,73.6,30.01,ESE,107,3.0,5.0,84,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 05:35:00
2012-08-05 00:45:00,79.0,74.1,30.01,ESE,104,4.0,6.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 05:45:00
2012-08-05 00:50:00,79.1,74.2,30.00,ESE,111,5.0,5.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 05:50:00
2012-08-05 01:00:00,79.0,74.1,29.99,ENE,76,5.0,6.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:00:00
2012-08-05 01:05:00,79.1,74.2,29.99,East,79,5.0,6.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:05:00
2012-08-05 01:15:00,79.0,74.1,29.99,ENE,64,4.0,5.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:15:00
2012-08-05 01:20:00,79.0,74.5,29.99,East,101,4.0,4.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:20:00
2012-08-05 01:25:00,79.0,74.5,29.99,East,101,3.0,4.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:25:00
2012-08-05 01:30:00,79.0,74.5,29.99,ESE,103,2.0,2.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:30:00
2012-08-05 01:40:00,78.9,74.4,29.99,East,96,2.0,2.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:40:00
2012-08-05 01:45:00,78.9,74.4,29.99,East,97,2.0,2.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:45:00
2012-08-05 01:50:00,78.9,74.4,29.99,ESE,118,1.0,5.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:50:00
2012-08-05 01:55:00,78.8,74.3,29.99,East,95,2.0,5.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 06:55:00
2012-08-05 02:05:00,78.7,74.5,29.99,ESE,109,3.0,4.0,87,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 07:05:00
2012-08-05 02:15:00,78.5,74.0,29.99,ESE,110,3.0,4.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 07:15:00
2012-08-05 02:20:00,78.5,74.0,29.99,ESE,103,3.0,3.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 07:20:00
2012-08-05 02:30:00,78.3,73.8,29.99,East,92,2.0,2.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 07:30:00
2012-08-05 02:40:00,78.3,73.4,29.99,ESE,106,2.0,2.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 07:40:00
2012-08-05 02:50:00,78.3,73.4,30.00,East,99,2.0,3.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 07:50:00
2012-08-05 02:55:00,78.3,73.4,30.00,East,100,1.0,3.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 07:55:00
2012-08-05 03:00:00,78.3,73.4,29.99,ESE,102,1.0,3.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 08:00:00
2012-08-05 03:05:00,78.3,73.4,29.99,ESE,103,1.0,3.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 08:05:00
2012-08-05 03:15:00,78.3,73.4,29.99,ESE,105,2.0,4.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 08:15:00
2012-08-05 03:20:00,78.3,73.4,29.99,ESE,104,2.0,2.0,85,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 08:20:00
2012-08-05 03:25:00,78.2,73.7,29.99,ESE,106,2.0,4.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 08:25:00
2012-08-05 03:30:00,78.0,73.5,29.99,East,101,2.0,4.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 08:30:00
2012-08-05 03:40:00,77.6,73.1,29.99,ENE,71,4.0,5.0,86,0.00,,,0.00,0,Wunderground v.1.15,2012-08-05 08:40:00
