Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2013-03-14 00:00:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:00:00
2013-03-14 00:05:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:05:00
2013-03-14 00:10:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:10:00
2013-03-14 00:20:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:20:00
2013-03-14 00:25:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:25:00
2013-03-14 00:35:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:35:00
2013-03-14 00:40:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:40:00
2013-03-14 00:45:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:45:00
2013-03-14 00:55:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 06:55:00
2013-03-14 01:00:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 07:00:00
2013-03-14 01:05:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 07:05:00
2013-03-14 01:15:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 07:15:00
2013-03-14 01:25:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 07:25:00
2013-03-14 01:30:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 07:30:00
2013-03-14 01:35:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 07:35:00
2013-03-14 01:45:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 07:45:00
