Date,Total15,Total20,Total25,pseudoWindSpeedMPH
2012-01-01,75,0,0,15
2012-01-02,96,25,0,20
2012-01-03,130,60,25,25
2012-01-04,0,0,0,0
2012-01-05,0,0,0,0
2012-01-07,0,0,0,0
2012-01-08,46,0,0,15
2012-01-09,0,0,0,0
2012-01-10,0,0,0,0
2012-01-11,0,0,0,0
2012-01-12,0,0,0,0
2012-01-13,58,0,0,15
2012-01-14,131,67,0,20
2012-01-15,132,89,0,20
2012-01-16,92,0,0,15
2012-01-17,61,0,0,15
2012-01-18,0,0,0,0
2012-01-19,32,0,0,15
2012-01-20,33,0,0,15
2012-01-21,0,0,0,0
2012-01-22,31,0,0,15
2012-01-23,29,0,0,15
2012-01-24,54,0,0,15
2012-01-25,0,0,0,0
2012-01-26,0,0,0,0
2012-01-27,39,0,0,15
2012-01-28,30,0,0,15
2012-01-29,125,0,0,15
2012-01-30,134,0,0,15
2012-01-31,66,0,0,15
2012-02-01,24,0,0,15
2012-02-02,54,0,0,15
2012-02-03,0,0,0,0
2012-02-04,41,0,0,15
2012-02-05,0,0,0,0
2012-02-06,0,0,0,0
2012-02-07,0,0,0,0
2012-02-08,0,0,0,0
2012-02-09,87,0,0,15
2012-02-10,0,0,0,0
2012-02-11,120,69,0,20
2012-02-12,136,112,0,20
2012-02-13,58,0,0,15
2012-02-14,42,0,0,15
2012-02-15,0,0,0,0
2012-02-16,0,0,0,0
2012-02-17,0,0,0,0
2012-02-18,0,0,0,0
2012-02-19,77,0,0,15
2012-02-20,69,0,0,15
2012-02-21,28,0,0,15
2012-02-22,0,0,0,0
2012-02-23,91,0,0,15
2012-02-24,45,0,0,15
2012-02-25,44,0,0,15
2012-02-26,27,0,0,15
2012-02-27,69,43,0,20
2012-02-28,106,28,0,20
2012-02-29,50,0,0,15
2012-03-01,31,0,0,15
2012-03-02,37,0,0,15
2012-03-03,75,30,0,20
2012-03-04,141,141,50,25
2012-03-05,142,111,0,20
2012-03-06,142,86,47,25
2012-03-07,82,55,0,20
2012-03-08,81,0,0,15
2012-03-09,77,0,0,15
2012-03-10,79,29,0,20
2012-03-11,69,57,0,20
2012-03-12,83,68,0,20
2012-03-13,81,46,0,20
2012-03-14,82,54,25,25
2012-03-15,107,60,0,20
2012-03-16,79,0,0,15
2012-03-17,81,0,0,15
2012-03-18,80,63,0,20
2012-03-19,61,54,0,20
2012-03-20,0,0,0,0
2012-03-21,0,0,0,0
2012-03-22,48,0,0,15
2012-03-23,69,0,0,15
2012-03-24,34,26,0,20
2012-03-25,66,0,0,15
2012-03-26,77,28,0,20
2012-03-27,91,58,0,20
2012-03-28,74,0,0,15
2012-03-29,71,0,0,15
2012-04-04,62,0,0,15
2012-04-05,31,0,0,15
2012-04-06,57,0,0,15
2012-04-07,91,82,0,20
2012-05-25,109,82,39,25
2012-05-26,105,53,0,20
2012-05-27,44,0,0,15
2012-05-28,73,38,0,20
2012-05-29,92,24,0,20
2012-05-30,0,0,0,0
2012-05-31,0,0,0,0
2012-06-01,0,0,0,0
2012-06-02,68,0,0,15
2012-06-03,0,0,0,0
2012-06-04,0,0,0,0
2012-06-05,0,0,0,0
2012-06-06,0,0,0,0
2012-06-07,26,0,0,15
2012-06-08,0,0,0,0
2012-06-09,35,0,0,15
2012-06-10,0,0,0,0
2012-06-11,59,24,0,20
2012-06-12,110,0,0,15
2012-06-13,101,39,0,20
2012-06-14,69,34,0,20
2012-06-15,0,0,0,0
2012-06-16,85,0,0,15
2012-06-17,70,0,0,15
2012-06-18,70,0,0,15
2012-06-19,56,0,0,15
2012-06-20,0,0,0,0
2012-06-21,0,0,0,0
2012-06-22,0,0,0,0
2012-06-23,0,0,0,0
2012-06-24,0,0,0,0
2012-06-25,0,0,0,0
2012-06-26,0,0,0,0
2012-06-27,0,0,0,0
2012-06-28,66,0,0,15
2012-06-29,25,0,0,15
2012-06-30,0,0,0,0
2012-07-01,70,0,0,15
2012-07-02,101,0,0,15
2012-07-03,84,0,0,15
2012-07-04,25,0,0,15
2012-07-05,58,0,0,15
2012-07-06,27,0,0,15
2012-07-07,40,0,0,15
2012-07-08,0,0,0,0
2012-07-09,71,0,0,15
2012-07-10,73,0,0,15
2012-07-11,35,0,0,15
2012-07-12,0,0,0,0
2012-07-13,42,0,0,15
2012-07-14,0,0,0,0
2012-07-15,0,0,0,0
2012-07-16,47,0,0,15
2012-07-17,33,0,0,15
2012-07-18,0,0,0,0
2012-07-19,105,0,0,15
2012-07-20,83,0,0,15
2012-07-21,0,0,0,0
2012-07-22,35,0,0,15
2012-07-23,0,0,0,0
2012-07-24,0,0,0,0
2012-07-25,42,0,0,15
2012-07-26,28,0,0,15
2012-07-27,24,0,0,15
2012-07-28,0,0,0,0
2012-07-29,0,0,0,0
2012-07-30,29,0,0,15
2012-07-31,0,0,0,0
2012-08-01,0,0,0,0
2012-08-02,0,0,0,0
2012-08-03,0,0,0,0
2012-08-04,28,0,0,15
2012-08-05,26,0,0,15
2012-08-06,0,0,0,0
2012-08-07,79,0,0,15
2012-08-08,63,28,0,20
2012-08-09,69,0,0,15
2012-08-10,46,0,0,15
2012-08-11,79,0,0,15
2012-08-12,52,0,0,15
2012-08-13,54,0,0,15
2012-08-14,0,0,0,0
2012-08-15,0,0,0,0
2012-08-16,33,0,0,15
2012-08-17,50,0,0,15
2012-08-18,0,0,0,0
2012-08-19,0,0,0,0
2012-08-20,26,0,0,15
2012-08-21,0,0,0,0
2012-08-22,0,0,0,0
2012-08-23,0,0,0,0
2012-08-24,33,0,0,15
2012-08-25,0,0,0,0
2012-08-26,0,0,0,0
2012-08-27,0,0,0,0
2012-08-28,0,0,0,0
2012-08-29,0,0,0,0
2012-08-30,0,0,0,0
2012-08-31,52,0,0,15
2012-09-01,87,0,0,15
2012-09-02,75,0,0,15
2012-09-03,52,0,0,15
2012-09-04,0,0,0,0
2012-09-05,0,0,0,0
2012-09-06,35,0,0,15
2012-09-07,56,0,0,15
2012-09-08,58,0,0,15
2012-09-09,68,0,0,15
2012-09-10,65,0,0,15
2012-09-11,82,0,0,15
2012-09-12,88,0,0,15
2012-09-13,37,0,0,15
2012-09-14,0,0,0,0
2012-09-15,0,0,0,0
2012-09-16,0,0,0,0
2012-09-17,0,0,0,0
2012-10-06,0,0,0,0
2012-10-07,0,0,0,0
2012-10-08,0,0,0,0
2012-10-09,35,0,0,15
2012-10-10,0,0,0,0
2012-10-11,73,40,0,20
2012-10-12,108,33,0,20
2012-10-13,78,0,0,15
2012-10-14,0,0,0,0
2012-10-15,0,0,0,0
2012-10-16,0,0,0,0
2012-10-17,0,0,0,0
2012-10-18,0,0,0,0
2012-10-19,0,0,0,0
2012-10-20,41,0,0,15
2012-10-21,95,41,0,20
2012-10-22,69,0,0,15
2012-10-23,70,0,0,15
2012-10-24,37,0,0,15
2012-10-25,0,0,0,0
2012-10-26,0,0,0,0
2012-10-27,0,0,0,0
2012-10-28,66,0,0,15
2012-10-29,62,0,0,15
2012-10-30,0,0,0,0
2012-10-31,0,0,0,0
2012-11-01,33,0,0,15
2012-11-02,0,0,0,0
2012-11-03,0,0,0,0
2012-11-04,0,0,0,0
2012-11-05,0,0,0,0
2012-11-06,0,0,0,0
2012-11-07,50,0,0,15
2012-11-08,0,0,0,0
2012-11-09,63,0,0,15
2012-11-10,85,43,0,20
2012-11-11,59,0,0,15
2012-11-12,0,0,0,0
2012-11-13,0,0,0,0
2012-11-19,0,0,0,0
2012-11-20,31,0,0,15
2012-11-21,0,0,0,0
2012-11-22,37,0,0,15
2012-11-23,0,0,0,0
2012-11-24,0,0,0,0
2012-11-25,0,0,0,0
2012-11-26,0,0,0,0
2012-11-27,0,0,0,0
2012-11-28,0,0,0,0
2012-11-30,0,0,0,0
2012-12-01,0,0,0,0
2012-12-02,58,30,0,20
2012-12-03,62,0,0,15
2012-12-04,55,0,0,15
2012-12-05,0,0,0,0
2012-12-06,0,0,0,0
2012-12-07,0,0,0,0
2012-12-14,0,0,0,0
2012-12-15,0,0,0,0
2012-12-16,0,0,0,0
2012-12-17,42,0,0,15
2012-12-18,0,0,0,0
2012-12-19,0,0,0,0
2012-12-20,0,0,0,0
2012-12-21,130,130,54,25
2012-12-22,130,0,0,15
2012-12-23,41,0,0,15
2012-12-24,31,0,0,15
2012-12-25,0,0,0,0
2012-12-26,44,29,0,20
2012-12-27,0,0,0,0
2012-12-28,0,0,0,0
2012-12-29,45,32,26,25
2012-12-30,131,0,0,15
2012-12-31,80,0,0,15
2013-01-01,0,0,0,0
2013-01-02,0,0,0,0
2013-01-03,0,0,0,0
2013-01-04,43,0,0,15
2013-01-05,37,0,0,15
